order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,in_full,on_time,on_time_in_full,customer_name,city,product_name,category,agreed_delivery_mmm_yy,agreed_delivery_week_no
FMR32201502,01-Mar-22,789201.0,25891502.0,160.0,02-Mar-22,02-Mar-22,160.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Biscuits 500,Food,Mar 22,W 10
FMR34201603,03-Mar-22,789201.0,25891302.0,54.0,04-Mar-22,04-Mar-22,54.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Ghee 150,Dairy,Mar 22,W 10
FMR34201603,03-Mar-22,789201.0,25891401.0,424.0,04-Mar-22,04-Mar-22,382.0,0.0,1.0,0.0,Rel Fresh,Surat,AM Curd 250,Dairy,Mar 22,W 10
FMR34201603,03-Mar-22,789201.0,25891603.0,114.0,04-Mar-22,04-Mar-22,91.0,0.0,1.0,0.0,Rel Fresh,Surat,AM Tea 100,Beverages,Mar 22,W 10
FMR34201502,02-Mar-22,789201.0,25891502.0,171.0,04-Mar-22,04-Mar-22,171.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Biscuits 500,Food,Mar 22,W 10
FMR34201601,02-Mar-22,789201.0,25891601.0,100.0,04-Mar-22,05-Mar-22,100.0,1.0,0.0,1.0,Rel Fresh,Surat,AM Tea 500,Beverages,Mar 22,W 10
FMR34201202,01-Mar-22,789201.0,25891202.0,175.0,04-Mar-22,04-Mar-22,175.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Butter 250,Dairy,Mar 22,W 10
FMR34201603,03-Mar-22,789201.0,25891301.0,86.0,04-Mar-22,04-Mar-22,82.0,0.0,1.0,0.0,Rel Fresh,Surat,AM Ghee 250,Dairy,Mar 22,W 10
FMR34201201,01-Mar-22,789201.0,25891201.0,291.0,04-Mar-22,05-Mar-22,233.0,0.0,0.0,0.0,Rel Fresh,Surat,AM Butter 100,Dairy,Mar 22,W 10
FMR34201603,03-Mar-22,789201.0,25891501.0,119.0,04-Mar-22,04-Mar-22,113.0,0.0,1.0,0.0,Rel Fresh,Surat,AM Biscuits 750,Food,Mar 22,W 10
FMR34201603,03-Mar-22,789201.0,25891602.0,73.0,04-Mar-22,04-Mar-22,73.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Tea 250,Beverages,Mar 22,W 10
FMR34201202,01-Mar-22,789201.0,25891102.0,372.0,04-Mar-22,04-Mar-22,353.0,0.0,1.0,0.0,Rel Fresh,Surat,AM Milk 250,Dairy,Mar 22,W 10
FMR35201601,03-Mar-22,789201.0,25891203.0,487.0,05-Mar-22,05-Mar-22,487.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Butter 500,Dairy,Mar 22,W 10
FMR35201401,04-Mar-22,789201.0,25891103.0,373.0,05-Mar-22,04-Mar-22,373.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Milk 100,Dairy,Mar 22,W 10
FMR35201401,04-Mar-22,789201.0,25891401.0,324.0,05-Mar-22,04-Mar-22,324.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Curd 250,Dairy,Mar 22,W 10
FMR35201503,04-Mar-22,789201.0,25891503.0,234.0,05-Mar-22,05-Mar-22,234.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Biscuits 250,Food,Mar 22,W 10
FMR35201601,03-Mar-22,789201.0,25891601.0,129.0,05-Mar-22,05-Mar-22,116.0,0.0,1.0,0.0,Rel Fresh,Surat,AM Tea 500,Beverages,Mar 22,W 10
FMR35201303,02-Mar-22,789201.0,25891101.0,368.0,05-Mar-22,05-Mar-22,368.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Milk 500,Dairy,Mar 22,W 10
FMR35201601,03-Mar-22,789201.0,25891501.0,154.0,05-Mar-22,05-Mar-22,154.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Biscuits 750,Food,Mar 22,W 10
FMR35201503,04-Mar-22,789201.0,25891102.0,350.0,05-Mar-22,05-Mar-22,350.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Milk 250,Dairy,Mar 22,W 10
FMR35201303,02-Mar-22,789201.0,25891303.0,44.0,05-Mar-22,05-Mar-22,42.0,0.0,1.0,0.0,Rel Fresh,Surat,AM Ghee 100,Dairy,Mar 22,W 10
FMR36201203,05-Mar-22,789201.0,25891203.0,265.0,06-Mar-22,07-Mar-22,212.0,0.0,0.0,0.0,Rel Fresh,Surat,AM Butter 500,Dairy,Mar 22,W 11
FMR36201603,05-Mar-22,789201.0,25891302.0,52.0,06-Mar-22,06-Mar-22,52.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Ghee 150,Dairy,Mar 22,W 11
FMR36201603,05-Mar-22,789201.0,25891401.0,228.0,06-Mar-22,06-Mar-22,228.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Curd 250,Dairy,Mar 22,W 11
FMR36201603,05-Mar-22,789201.0,25891603.0,164.0,06-Mar-22,06-Mar-22,156.0,0.0,1.0,0.0,Rel Fresh,Surat,AM Tea 100,Beverages,Mar 22,W 11
FMR36201603,05-Mar-22,789201.0,25891501.0,199.0,06-Mar-22,06-Mar-22,199.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Biscuits 750,Food,Mar 22,W 11
FMR36201603,05-Mar-22,789201.0,25891102.0,348.0,06-Mar-22,06-Mar-22,348.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Milk 250,Dairy,Mar 22,W 11
FMR38201501,06-Mar-22,789201.0,25891203.0,472.0,08-Mar-22,08-Mar-22,448.0,0.0,1.0,0.0,Rel Fresh,Surat,AM Butter 500,Dairy,Mar 22,W 11
FMR38201503,05-Mar-22,789201.0,25891503.0,185.0,08-Mar-22,08-Mar-22,185.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Biscuits 250,Food,Mar 22,W 11
FMR38201402,07-Mar-22,789201.0,25891402.0,357.0,08-Mar-22,08-Mar-22,357.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Curd 100,Dairy,Mar 22,W 11
FMR38201503,05-Mar-22,789201.0,25891301.0,66.0,08-Mar-22,08-Mar-22,66.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Ghee 250,Dairy,Mar 22,W 11
FMR38201402,07-Mar-22,789201.0,25891201.0,466.0,08-Mar-22,08-Mar-22,466.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Butter 100,Dairy,Mar 22,W 11
FMR38201501,06-Mar-22,789201.0,25891501.0,217.0,08-Mar-22,08-Mar-22,217.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Biscuits 750,Food,Mar 22,W 11
FMR38201102,06-Mar-22,789201.0,25891102.0,366.0,08-Mar-22,09-Mar-22,329.0,0.0,0.0,0.0,Rel Fresh,Surat,AM Milk 250,Dairy,Mar 22,W 11
FMR38201503,05-Mar-22,789201.0,25891403.0,219.0,08-Mar-22,08-Mar-22,219.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Curd 50,Dairy,Mar 22,W 11
FMR39201401,06-Mar-22,789201.0,25891203.0,227.0,09-Mar-22,09-Mar-22,227.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Butter 500,Dairy,Mar 22,W 11
FMR39201302,08-Mar-22,789201.0,25891302.0,23.0,09-Mar-22,09-Mar-22,23.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Ghee 150,Dairy,Mar 22,W 11
FMR39201401,06-Mar-22,789201.0,25891401.0,356.0,09-Mar-22,09-Mar-22,338.0,0.0,1.0,0.0,Rel Fresh,Surat,AM Curd 250,Dairy,Mar 22,W 11
FMR39201602,07-Mar-22,789201.0,25891502.0,180.0,09-Mar-22,09-Mar-22,180.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Biscuits 500,Food,Mar 22,W 11
FMR39201602,07-Mar-22,789201.0,25891503.0,172.0,09-Mar-22,09-Mar-22,172.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Biscuits 250,Food,Mar 22,W 11
FMR39201602,07-Mar-22,789201.0,25891601.0,117.0,09-Mar-22,09-Mar-22,117.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Tea 500,Beverages,Mar 22,W 11
FMR39201302,08-Mar-22,789201.0,25891101.0,371.0,09-Mar-22,09-Mar-22,334.0,0.0,1.0,0.0,Rel Fresh,Surat,AM Milk 500,Dairy,Mar 22,W 11
FMR39201302,08-Mar-22,789201.0,25891201.0,140.0,09-Mar-22,09-Mar-22,140.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Butter 100,Dairy,Mar 22,W 11
FMR39201602,07-Mar-22,789201.0,25891602.0,147.0,09-Mar-22,09-Mar-22,147.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Tea 250,Beverages,Mar 22,W 11
FMR39201302,08-Mar-22,789201.0,25891102.0,443.0,09-Mar-22,09-Mar-22,443.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Milk 250,Dairy,Mar 22,W 11
FMR39201401,06-Mar-22,789201.0,25891303.0,91.0,09-Mar-22,09-Mar-22,91.0,1.0,1.0,1.0,Rel Fresh,Surat,AM Ghee 100,Dairy,Mar 22,W 11
FMR311201203,09-Mar-22,789201.0,25891203.0,147.0,11-Mar-22,13-Mar-22,147.0,1.0,0.0,1.0,Rel Fresh,Surat,AM Butter 500,Dairy,Mar 22,W 11
